provincia,tramo_edad,genero,personas_beneficiarias,edicion
Chaco,18 a 29,Femenino,215,previaje 1
Chaco,30 a 44 años,Femenino,478,previaje 1
Chaco,45 a 59 años,Femenino,238,previaje 1
Chaco,60 años y más,Femenino,103,previaje 1
Chaco,18 a 29,Masculino,179,previaje 1
Chaco,30 a 44 años,Masculino,353,previaje 1
Chaco,45 a 59 años,Masculino,177,previaje 1
Chaco,60 años y más,Masculino,61,previaje 1
Salta,18 a 29,Femenino,314,previaje 1
Salta,30 a 44 años,Femenino,563,previaje 1
Salta,45 a 59 años,Femenino,336,previaje 1
Salta,60 años y más,Femenino,110,previaje 1
Salta,18 a 29,Masculino,274,previaje 1
Salta,30 a 44 años,Masculino,511,previaje 1
Salta,45 a 59 años,Masculino,280,previaje 1
Salta,60 años y más,Masculino,95,previaje 1
Santiago del Estero,18 a 29,Femenino,68,previaje 1
Santiago del Estero,30 a 44 años,Femenino,89,previaje 1
Santiago del Estero,45 a 59 años,Femenino,52,previaje 1
Santiago del Estero,60 años y más,Femenino,16,previaje 1
Santiago del Estero,18 a 29,Masculino,57,previaje 1
Santiago del Estero,30 a 44 años,Masculino,107,previaje 1
Santiago del Estero,45 a 59 años,Masculino,61,previaje 1
Santiago del Estero,60 años y más,Masculino,19,previaje 1
Tucumán,18 a 29,Femenino,430,previaje 1
Tucumán,30 a 44 años,Femenino,620,previaje 1
Tucumán,45 a 59 años,Femenino,304,previaje 1
Tucumán,60 años y más,Femenino,117,previaje 1
Tucumán,18 a 29,Masculino,368,previaje 1
Tucumán,30 a 44 años,Masculino,738,previaje 1
Tucumán,45 a 59 años,Masculino,322,previaje 1
Tucumán,60 años y más,Masculino,136,previaje 1
Santa Cruz,18 a 29,Femenino,95,previaje 1
Santa Cruz,30 a 44 años,Femenino,206,previaje 1
Santa Cruz,45 a 59 años,Femenino,71,previaje 1
Santa Cruz,60 años y más,Femenino,26,previaje 1
Santa Cruz,18 a 29,Masculino,68,previaje 1
Santa Cruz,30 a 44 años,Masculino,183,previaje 1
Santa Cruz,45 a 59 años,Masculino,81,previaje 1
Santa Cruz,60 años y más,Masculino,16,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",18 a 29,Femenino,191,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",30 a 44 años,Femenino,427,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",45 a 59 años,Femenino,160,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",60 años y más,Femenino,37,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",18 a 29,Masculino,125,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",30 a 44 años,Masculino,416,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",45 a 59 años,Masculino,161,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",60 años y más,Masculino,41,previaje 1
Río Negro,18 a 29,Femenino,180,previaje 1
Río Negro,30 a 44 años,Femenino,561,previaje 1
Río Negro,45 a 59 años,Femenino,318,previaje 1
Río Negro,60 años y más,Femenino,124,previaje 1
Río Negro,18 a 29,Masculino,155,previaje 1
Río Negro,30 a 44 años,Masculino,477,previaje 1
Río Negro,45 a 59 años,Masculino,308,previaje 1
Río Negro,60 años y más,Masculino,116,previaje 1
Neuquén,18 a 29,Femenino,200,previaje 1
Neuquén,30 a 44 años,Femenino,513,previaje 1
Neuquén,45 a 59 años,Femenino,305,previaje 1
Neuquén,60 años y más,Femenino,118,previaje 1
Neuquén,18 a 29,Masculino,184,previaje 1
Neuquén,30 a 44 años,Masculino,553,previaje 1
Neuquén,45 a 59 años,Masculino,294,previaje 1
Neuquén,60 años y más,Masculino,107,previaje 1
La Pampa,18 a 29,Femenino,46,previaje 1
La Pampa,30 a 44 años,Femenino,136,previaje 1
La Pampa,45 a 59 años,Femenino,96,previaje 1
La Pampa,60 años y más,Femenino,39,previaje 1
La Pampa,18 a 29,Masculino,29,previaje 1
La Pampa,30 a 44 años,Masculino,109,previaje 1
La Pampa,45 a 59 años,Masculino,91,previaje 1
La Pampa,60 años y más,Masculino,38,previaje 1
Chubut,18 a 29,Femenino,166,previaje 1
Chubut,30 a 44 años,Femenino,380,previaje 1
Chubut,45 a 59 años,Femenino,197,previaje 1
Chubut,60 años y más,Femenino,112,previaje 1
Chubut,18 a 29,Masculino,118,previaje 1
Chubut,30 a 44 años,Masculino,383,previaje 1
Chubut,45 a 59 años,Masculino,210,previaje 1
Chubut,60 años y más,Masculino,87,previaje 1
La Rioja,18 a 29,Femenino,56,previaje 1
La Rioja,30 a 44 años,Femenino,90,previaje 1
La Rioja,45 a 59 años,Femenino,39,previaje 1
La Rioja,60 años y más,Femenino,19,previaje 1
La Rioja,18 a 29,Masculino,47,previaje 1
La Rioja,30 a 44 años,Masculino,94,previaje 1
La Rioja,45 a 59 años,Masculino,31,previaje 1
La Rioja,60 años y más,Masculino,25,previaje 1
Corrientes,18 a 29,Femenino,61,previaje 1
Corrientes,30 a 44 años,Femenino,108,previaje 1
